,Name,Regular,English,Notes,Breakdown
10,NEO_Tami,^tam'oo' plinexs-føvɣ.^ʁajgnmhupment tam'joo'.^lo-φe'x-qxuna'k-xeəxkorxgr'ii'ə-žyxut-loxə-ɣypm əl-naķmqxuπl-ɢəč'astiww-ɢnagɮəxɣypmqpenyčpxe-ʁiəxɣypem.^lo-φlrχanjasərθ-'astiww-dlθuqxiwwθəxt-žyxut-loxə-čxət'.^lo-fa'ipθtluxtnaķm-naǩøm.^lo-tam'joo'rukxtekt-naķøm.^xe-ʁajgəxsopšiktqxuna'kfa'ipeθ.^xe-tapeq:ʁuumus-bukðrχanj-ser-mɒɣyg lo-ɢwinš-mprasuw.,"Tamiyo, Compleated Sage. Legendary Planeswalker — Tamiyo. Compleated. Tap up to one target artifact or creature. It doesn’t untap during its controller’s next untap step. Exile target nonland permanent card with mana value X from your graveyard. Create a token that’s a copy of that card. Create Tamiyo’s Notebook, a legendary colorless artifact token with “Spells you cast cost 2 less to cast” and “Draw a card.”",,"tamiyo compleat sage.legendary-planeswalker tamiyo.compleat.(imperative) creature artifact frequency_not_more_than_one [2>?]target (imperative-and) [3>3]tap (not) make-control this_permanent next-untap-[4>3]step-? ?_[3>4]untap.(imperative) complete_cost-number {X} permanent in_graveyard [2>?]target (imperative-and) [3>3]exile.(imperative) token-copy [2>4]make.(imperative) tamiyo-note-book [2>4]make.(indicative) legendary-colorless-artifact-token.(indicative) [3>3]get.[pl,2>2]spell play-cost by {2} [4>3]reduce.{T}.(imperative) card [2>3]draw"
11,SNC_Ura,^'urbrask-ɴk'ykg-pxajtr.^ʁajgφe'x φyrx-pxajtr.^ɣwiziklvuw'k.^baxuφ-dlabzqpønuč-'iixtfu'q lo-tektθəxut-'iitčɢwinyš-čxəťu'.^ťe-ɢəɢwinš-žkiɢəronɣ-buǩuð.^baxuφ-əxnɒqč-dlabzqpenyč-'iixtfu'q baqilx-ɢəroneɣɢnagɮɢwinyš-mprasew loqit-tektθəxet-'iitčɢwinyš-čxəte'.^ťe-ɢəɢwinš-žkiɢəronɣ-bukeð.,"Urabrask, Heretic Praetor. Legendary Creature — Phyrexian Praetor. Haste. At the beginning of your upkeep, exile the top card of your library. You may play it this turn. At the beginning of each opponent’s upkeep, the next time they would draw a card this turn, instead they exile the top card of their library. They may play it this turn.",,urabrask heretic praetor. legendary-creature phyrexian praetor.haste.(if-when) [2>2]upkeep begin (imperative) [2>?]library first-[4>3]card [2>3]exile.(can) this_card for_this_turn [2>3]play.(if-when) opponent [4>3]upkeep begin (if-would) this_[3>4]turn-next-[4>3]card [3>4]draw (if-but) [3>4]library first-[4>3]card [3>4]exile.(can) this_card for_this_turn [3>4]play
12,DMU_Sheo,^šøldrd-niťamg.^ʁajgφe'x φyrx-pxajtr.^ɣwiθuqx'əkš.^baxuφ-ɢwinš-mprasuw lo-sər-ǆko'uχ.^baxuφ-əxnɒqč-ɢwinš-mprasw lo-ser-huqet.,"Sheoldred, the Apocalypse. Legendary Creature — Phyrexian Praetor. Deathtouch. Whenever you draw a card, you gain 2 life. Whenever an opponent draws a card, they lose 2 life.",,sheoldred apocalypse. legendary-creature phyrexian praetor.deathtouch.(if-when) card [2>3]draw (imperative) by {2} [2>?]heal.(if-when) opponent card draw (imperative) by {2} [3>4]bleed
13,DMU_Ajani,^'əǆɒnii' veštganwr.^ʁajgnmhupment 'əǆɒnii'.^plinexs.^lo-tektθəx'ut-'iitčɢwinyš-kreπug.^ba-ɢəɢwinš-ʁiφe'x-ʁajgnmhupmentðə-ɢzyzšel-vuw'uk-lo-nɒqul.^bu-ɢəɢwinš-ʁiφe'x-ʁajgnmhupmentðə-vuw'uk-xwe-tektθəxut-ǩeǆylqitsodrm.^lo-πee'x-xeəxkorxgrķi'ə-žyxut.^lo-ķi-juuχẅķ-kuplɢəπee'x-χɬkevuk.^ɢəπee'x-ɣwipnrukm-žkiɢəronɣ-tapyq.^lo-čkalakm-naǩum.^lo-tapeq:baxuφ-φe'x-ʁajgnmhupmentðə-buǩuð lo-əxnɒqč-žyxut loxə-ķu-ʁiheeɬɬ-θapeq.,"Ajani, Sleeper Agent. Legendary Planeswalker — Ajani. Compleated. Reveal the top card of your library. If it’s a creature or planeswalker card, put it into your hand. Otherwise, you may put it on the bottom of your library. Distribute three +1/+1 counters among up to three target creatures. They gain vigilance until end of turn. You get an emblem with “Whenever you cast a creature or planeswalker spell, target opponent gets two poison counters.”",,ajani sleeper-agent. legendary-planeswalker ajani.compleat.(imperative) [2>3]library first-[4>3]card [2>3] reveal.(if) this_card ?_creature ?_planeswalker_or [3>4]? [2>3]move (imperative) [2>2]hand.(ifnot) this_card ?_creature ?planeswalker_or [2>3]move (may) [2>?]library bottom.(imperative) [pl]creature frequency_not_more_than_three [2>?]target.(imperative) three [pl]counter among_this_[pl]creature [2>3]distribute.this [pl]creature vigilance for_this_turn [4>3]get.(imperative) emblem [2>3]make.(imperative) [3>4]get.(if-when) creature planeswalker_or (ifnot) (imperative) opponent [2>?]target (imperative-and) three ?_[pl]poison [3>4]get
14,ONE_Norn,^'elš-norn jɒ'gžɒðʁ.^ʁajgφe'x φyrx-pxajtr.^ɣwipnrukm.^ba-qə-twøǩxθəxt-xexə-'astiww-w'astywuw-ɣwi't-ʁiǩažeð tluxt-ķažyð-lo-ɢəɣwi't.^əx-qə-twøǩxθəxt-xexə-'astiww-w'astiww-ɣwi't-ǩažeð.,"Elesh Norn, Mother of Machines. Legendary Creature — Phyrexian Praetor. Vigilance. If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time. Permanents entering the battlefield don’t cause abilities of permanents your opponents control to trigger.",Meanings for ability and trigger clash with NEO_Jin,elesh norn machine_mother.legendary_creature phyrexian praetor.vigilance.(if) (that) battlefield (indicative-and) permanent of_[2>2]permanent ability ?_[3>4]trigger copy [4>3]trigger (imperative) this-ability.(not) (that) battlefield (indicative-and) permanent of_permanent ability [3>4]trigger
15,ONE_Jace,^ǆes jnaķm-'təɮirt.^ʁajgnmhupment ǆes.^plinexs.^lo-φe'x-xeəxkorxgr'ii'ə-žyxut-loxə-φɒ'ɢnagɮronuɣ-tapyq.^lo-nɒqč-žyxut-loxə-sər-ẅəpek.^ba-θuqxiwwθəxt-lyφkorxgrǆ'ynppðə-ɢwiinš-lo-mprasuw.^bu-ɢwinš-mprasuw.^lo-nɒqč-žyxut-loxə-sər-ķi-tøwp-ẅəpyk.,"Jace, the Perfected Mind. Legendary Planeswalker — Jace. Compleated. Until your next turn, up to one target creature gets -3/-0. Target player mills three cards. Then if a graveyard has twenty or more cards in it, you draw three cards. Otherwise, you draw a card. Target player mills three times X cards.",,jace perfect mind.legendary-planeswalker jace.compleat.(imperative) creature frequency_not_more_than_one [2>3]target (imperative-and) {-3/-0} until_next_[2>?]turn [4>3]get.(imperative) player [2>?]target (imperative-and) by {3} [3>4]mill.(if) graveyard {20} ?_more_than_equal_or [pl.]card (imperative) [2>3]draw. (if_not) card [2>3]draw.(imperative) player [2>?]target (imperative-and) by {X} times [4>3]mill
16,ONE_Vraska,^vraskə' πnokx-'afy'.^ʁajgnmhufment vraskə'.^plinexs.^lo-ɢwinš-mprasuw-loxə-sər-huǧt.^lo-jektlexøq.^lo-φe'x-žyxut-qxuna'k-ǧliŋš-tlexeq.^xe-sall-ɢwinšπøøkkɣwii'txə-'oparxuχ.^xe-tapeq-no'b'ugum-'ɒpsopšikt-'ii-ma'n-babug.^lo-nɒqč-žyxut-baxe-grmɒɣg-ʁiheeɬeɬ-dlgeftʁiheeɬɬ-lo-tapeq.,"Vraska, Betrayal's Sting. Legendary Planeswalker — Vraska. Compleated. You draw a card and you lose 1 life. Proliferate. Target creature becomes a Treasure artifact with “Sacrifice this artifact: Add one mana of any color” and loses all other card types and abilities. If target player has fewer than nine poison counters, they get a number of poison counters equal to the difference.",,"vraska betrayal [4>3]sting.legendary-planeswalker vraska.compleat.(imperative) card [2>3]draw (imperative-and) by {1} [?>?]hurt.(imperative) [2>4]proliferate.(imperative) creature [2>?] target artifact treasure [3>4]?.(indicative) other card-[pl.]type-[pl.]ability_and [2>3]limit.(indicative) [3>4]get.[2>?]sacrifice.any_color one mana [2>3]add.(imperative) player [2>?]target (if-indicative) less_than {9} [pl.,3>4]poison in_?-[pl.]poison (imperative) [3>4]get"
17,ONE_Lukka,^lyku' keɴt-hfwežφ.^ʁajgnmhupment lyku'.^plinexs.^lo-babug.^ǩaπa-ɢəma'n-φee'xčtəčpliɣnɣwi'ytðə-xe'ii'ə-ʁihisup.^lo-ɮiwwφyrxpnpe'kφe'xfa'ipθ-naǩum.^xe-ɬaʁq-tapeq.^lo-'ɒpasərθφee'xʁajgnmhuupmentxəðə-žyxut.^lo-lyku'-sər-'ɒpžyyxgɮəsuv-ðpačuk.^'u-qə-qxuπul-'uxə-ðazpnkorxnu'fφee'x-loxuπ-ɣwi't-čtəčpliɣun-ʁiǆ'ynpp.,"Lukka, Bound to Ruin. Legendary Planeswalker — Lukka. Compleated. Add R/G. Spend this mana only to cast creature spells or activate abilities of creatures. Create a 3/3 green Phyrexian Beast creature token with toxic 1. Lukka deals X damage divided as you choose among any number of target creatures and/or planeswalkers, where X is the greatest power among creatures you controlled as you activated this ability.",,lukka bound in_ruin.legendary-planeswalker lukka.compleat.(imperative) {RG} [2>3]add.(shall) this_mana [pl.]creature-activate-[4>3]ability_or frequency_one ?_[2>3]spend.(imperative) {3/3} green-phyrexian-beast-creature-token [2>3]make.(indicative) toxic {1} [3>4]get.(imperative) any_number-[pl.]creature-[pl.]/planeswalker_and_or [2>3]target.(imperative) lukka by {X} ? [2>?]damage.(past) {X} (that) [2>?]control (past-and) ?-more-power-[pl.]creature (imperative-?) ability [2>3]activate equal
18,ONE_Nissa,^nisə' pnmenθ-naķmnsa'q.^ʁajgnmhupment nisə'.^plinexs.^lo-ɮiwwφyrxšχʁɒčxφe'xfa'ipθ-naǩum xexə-nisə' pnmenθ-naķmnsa'q-huqtkeɴyt-ʁiǆ'ynpep.^lo-qxuna'k-qab'θəxtðə-žyxut-loxə-qabu'.^xe-qə-qxuπul-xexə-πee'x-sər-aχəw'oɢθəsð-ɣwikfɒǧpən'gxə-žkiɢəronɣ-tapyq.,"Nissa, Ascended Animist. Legendary Planeswalker — Nissa. Compleated. Create an X/X green Phyrexian Horror creature token, where X is Nissa, Ascended Animist’s loyalty. Destroy target artifact or enchantment. Until end of turn, creatures you control get +1/+1 for each Forest you control and gain trample.",Enchantment is written here with the word for arena.,nissa ascended make-life.legendary-planeswalker nissa.compleat.(imperative) {X/X} green-phyrexian horror creature token [2>3]create (indicative-and) {X} nissa ascended make-life loyalty ?_equal.(imperative) artifact arena_or [2>3]target (imperative-and) [2>3]kill.(indicative) (that) [2>?]control (indicative-and) [pl.]creature {+1/+1} by each-forest trample_and for_this_turn [4>3]get
19,ONE_Nahiri,^nhirii' ŋyqχ.^ʁajgnmhupment nhirii'.^plinexs.^lo-φe'x-xeəxkorxgr'ii'ə-žyxut-loxə-ɢəφe'x-nɒqč-φɒ'ɢnagɮronuɣ-xet'eaχəw'twøǩx'ə-ʁigʁičtex.^lo-ɢwinš-šteǧuʁ-loxə-ɢwinš-mprasuw.^lo-qərχanjasərθgrmɒɣgnhirii'huqtkeɴyt-xexə-φe'xequipmentðə-ɣẅθuqxiwwθəxut-žyxut-loxə-ɢəɢwinš-čxət'.^lo-qə-ɢəɢwinš-tluxtnaķm-loxə-fa'ipθ-naǩum.^xe-ɢəɢwinš-ɣwiziklvuwk-ʁitapyq.^baxuφ-πlnaķmqpenč-'iixtfu'q lo-ɢəɢwinš-čxəťu'.,"Nahiri, the Unforgiving. Legendary Planeswalker — Nahiri. Compleated. Until your next turn, up to one target creature attacks a player each combat if able. Discard a card, then draw a card. Exile target creature or Equipment card with mana value less than Nahiri’s loyalty from your graveyard. Create a token that’s a copy of it. That token gains haste. Exile it at the beginning of the next end step.",An instance of equipment here is just written in english.,nahiri unforgiving.legendary planeswalker nahiri.compleat.(imperative) creature frequency_not_more_than-one [2>?]target (imperative-and) this_creature player until_next-[2>?]turn frequency_?_each-combat ?_[3>4]attack.(imperative) card [2>3]discard (imperative-and) card [2>3]draw.(imperative) ?_cost-number-than_less-nahiri loyalty (indicative-and) creature-equipment_or from_[2>2]graveyard [2>?]target (imperative-and) this_card exile.(imperative) (that) this_card copy (imperative-and) token [2>3]make.(indicative) this_card haste ?_[4>3]get.(if-when) end-step begin (imperative) this_card [2>3]exile
20,ONE_Plains,^'ičql.!ǩaπa-jɒɒ'g-žɒðyʁ-χtenaa.^ɣøπi't-θəɢð 'ičql.,Plains. Basic Land — Plains.,,plains.(!shall) [pl.]machine [4>3]mother [2>1]behold.basic land plains
21,ONE_Island,^kẅθəɢð.^xe-jnaķm-ǩoθaǩ-χiǆ'ynpep.^ɣøπi't-θəɢð kẅθəɢð.,Island. Basic Land — Island.,,island.(indicative) perfect [?>?]? ?_[3>4]equal.basic land island
22,ONE_Swamp,^qaškm.^lo-xwixč-θwiχaš-gøẅrφ-'ičaq.^ɣøπi't-θəɢð qaškm.,Swamp. Basic Land — Swamp.,,swamp.(imperative) fear [1>3]sow ? [?>?]?.basic land swamp
23,ONE_Mountain,^ktakx.^xwe-šχa'θnaķm-ǩeǆ'ǥeθ.^ɣøπi't-θəɢð ktakx.,Mountain. Basic Land — Mountain.,,mountain.(may) great_work [3>4]?.basic land mountain
24,ONE_Forest,^'oɢθəsð.^xe-xe'ii'ə-ə'ufɬrøʁɴ-ɢises.^ɣøπi't-θəɢð 'oɢθəsð.,Forest. Basic Land — Forest.,,forest.(indicative) frequency_one ? [3>4]evolve.basic land forest
25,ONE_Arena,^φyrx-qab'θəxt.^myθž.^baxuφ-ðlabzqpønuč-'iixtfu'q-lo-ɢwinš-mprasuw-loxə-sər-huqøt.,"Phyrexian Arena. Enchantment. At the beginning of your upkeep, you draw a card and you lose 1 life.",,phyrexian arena.enchantment.(if-when) upkeep [3>3]begin (imperative) card [2>3]draw (imperative-and) by {1} [2>4]bleed
26,NPH_Agent,^ɮzətɣð-ganwr.^φe'x φyrx-'ønəķ-θutlzətč.^ɣwiɮəɣð.^əx-ɮzətɣð-ganwr-kfɒ'q'.^xwe-'urbrask-χheruǩum-ʁiwtultm əlqit-lups.^'avričt ɢyytx-ɮportt.,"Blighted Agent. Creature — Phyrexian Human Rogue. Infect. Blighted Agent can’t be blocked. “Urabrask may suspect our surveillance, but he cannot stop it.” — Avaricta, Gitaxian sective.",,blighted agent.creature phyrexian human rogue.infect.(not) blighted agent [3>3]block.(may) urabrask  [2>3]surveilance ?_suspect (not-but) [?>?]stop.avaricta [pl.]gitaxian sective
27,NPH_Elf,^naķmφ'kitv-jalf.^φe'x φyrx-jalf-naķmtǆyφt.^ɣwiɮəɣð.^xwe-nsa'q-pn'ətsxaan-ťexẅots-wφyrxjnaķm-'ɒjbť-bɬølaπ.,"Glistener Elf. Creature — Phyrexian Elf Warrior. Infect. Beg me for life, and I will fill you with the glory of phyrexian perfection.",,make-foil elf.creature phyrexian elf make-war.infect.may life [2>1]beg (can-thus) of_phyrexian-perfection glory [1>?]fill
28,NPH_Batterskull,^kšaπɢždɒ'ķ.^qxuna'k qipmt.^čkaqqtwøφt.^xe-qipltφe'x-ɣwipnrukm-ɣwinsa'qraφoj-ʁitapyq.^kšaπɢždɒ'ķ-hnaķmkeφe'xnaql-ʁi'iţpənun.^qiplt.,Batterskull. Artifact — Equipment. Living weapon. Equipped creature gets +4/+4 and has vigilance and lifelink. Return Batterskull to its owner’s hand. Equip.,,?-?.artifact equipment.biomechanical_being-weapon.(indicative) equip-creature {+4/+4} vigilance lifelink ?_[4>3]get. ?-? to_make-own-hand ?_[2>?]return.equip
29,NPH_InkNexus,^dlabzǆfyll'əqd.^θəɢð.^bɒb'g.^dlabzǆfyll'əqd-φyrx-dlabzǆfyll-qxuna'kφe'x-žkiɢəronɣ-ʁitapeq.^ɣwitøšq-ɣwiɮəɣð-pareɴ.,Inkmoth Nexus. Land. Add. Inkmoth Nexus becomes a 1/1 Phyrexian Blinkmoth artifact creature with flying and infect until end of turn. It’s still a land. ,,oil-moth-nexus.land.{T}.add {1}.{1}.oil-moth-nexus phyrexian oil-moth {1/1} artifact-creature for_this_turn [3>4]get.flying infect [3>4]?
30,C19_Krrik,^ǩərrk 'i'yl-jɒ'gmo'θ.^ʁajgφe'x φyrx-šχʁɒčx-'əqoq'.^ɣwinsa'qraφoj.^xwe-aχəw'-'štrχanj-ʁihuqɬgøťut xweqit-nsa'q-huqɬgøťut.^baxuφ-faxt-ʁums-buǩuð-lo-juχẅķ-əšqǩərrk-'i'yl-jɒ'gmo'θ-ʁiţə'u'.,"K'rrik, Son of Yawgmoth. Legendary Creature — Phyrexian Horror Minion. Lifelink. For each B in a cost, you may pay 2 life rather than pay that mana. Whenever you cast a black spell, put a +1/+1 counter on K'rrik, Son of Yawgmoth.",,krrik [4>3]son yawgmoth. legendary-creature phyrexian horror minion.lifelink.(may) each {B} ?_cost ?_[2>3]pay (may-but) life [2>3]pay.(if-when) black spell [2>3]play (imperative) {+1/+1} counter on_krrik [4>3]son yawgmoth ?_[2>3]put
31,NPH_Dismember,^čəxkefa'qsemr.^ziklʁums.^lo-φe'x-žyxut-loxə-žkiɢəronɣ-tapyq.,Dismember. Instant. Target creature gets -5/-5 until end of turn.,,dismember.instant.(imperative) creature [2>?]target (imperative-and) for_this_turn {-5/-5} [4>3]get
32,MBS_PsyCrawl,^jiǥgɣwi'v-bwedn.^qxuna'kφe'x φyrx-šχʁɒčx.^xe-jiǥgɣwi'v-bwedn-nu'fkoqšqle'yt-xə-qə-dlnɒqul-xexə-asərθ-wɢwiinš-ʁiǆ'ynπup.^baxuφ-ɢwinš-mprasuw-lo-aχəw'əxnɒqč-sər-huqet.,"Psychosis Crawler. Artifact Creature — Phyrexian Horror. Psychosis Crawler’s power and toughness are each equal to the number of cards in your hand. Whenever you draw a card, each opponent loses 1 life.",,psychosis crawler.artifact-creature phyrexian horror.(indicative) psychosis crawler power-[4>3]toughness (and) (that) [2>2]hand (indicative-and) each [pl.]card ?_[2>3]equal.(if-when) card [2>3]draw (imperative) each_opponent by {1} [3>4]bleed
33,NPH_Annex,^norn-ǩlətkyk.^qxuna'k.^əx-πee'x-čkɒquq-qə-qxuπul-xexə-ʁajgnmhupmeentðə-gʁyčtx-loəq-qxuπyl-xe'štaχəw'φe'x'ə-huqɬgøtet.,Norn's Annex. Artifact. Creatures can’t attack you or planeswalkers you control unless their controller pays W/P for each of those creatures.,,norn [4>3]annex.artifact.(not) creatures [2>2]biomechanical_being (that) [2>?]control (indicative-and) [pl.]planeswalker_or attack (imperative-?) [4>3]control {W/P} frequency_for_each_creature pay
34,NPH_Misstep,^ɬšeɴazyv-təɮirt.^ziklʁums.^lo-φrχanjasərθ'ii'ʁums-žyxut-loxə-šuǧun.,Mental Misstep. Instant. Counter target spell with mana value 1.,,[4>3]? mind.instant.(imperative) complete_cost-number-one-?_spell [2>3]target (imperative-and) [2>3]counter
