,phyrexian,IPA,plural,translation,root,composition,examples,class,native,notes,type,confidence
27,'ičql,ʔitʃql,'iičql,Plains,"[""'ičql""]",,['ONE_Plains'],noun,True,,composite,solid
28,kẅθəɢð,kɯθəɢð,kẅθəəɢð,Island,['θəɢð'],,['ONE_Island'],noun,True,,composite,solid
29,qaškm,qaʃkm,qaaškm,Swamp,['qaškm'],,"['NPH_Sheo', 'ONE_Swamp', 'SLD_Swamp', 'Swamp_Lore']",noun,True,,root,solid
30,ktakx,ktakx,ktaakx,Mountain,['ktakx'],,['ONE_Mountain'],noun,True,,root,solid
31,'oɢθəsð,ʔoɢθəsð,'oɢθəəsð,Forest,"[""'oɢθəsð""]",,"['ONE_Nissa', 'ONE_Forest']",noun,True,,composite,solid
32,pnpe'k,pnpeʔk,pnpee'k,Beast,"[""pe'k""]",,"['ONE_Lukka', 'NPH_BeastWithin']",noun,True,,composite,solid
33,dlabzǆfyll,dlabzdʒfyll,dlabzǆfyyll,Blinkmoth,"['dlabz', 'ǆfyll']",,['NPH_InkNexus'],noun,True,,composite,solid
34,jalf,jalf,jaalf,Elf,['jalf'],,['NPH_Elf'],noun,False,,root,solid
35,qipmt,qipmt,qiipmt,Equipment,['qipmt'],,['NPH_Batterskull'],noun,False,,root,solid
36,šχʁɒčx,ʃχʁɒtʃx,šχʁɒɒčx,Horror,,,"['ONE_Nissa', 'C19_Krrik', 'MBS_PsyCrawl']",noun,True,,unclear,solid
37,'ønəķ,ʔønəkʰ,'øønəķ,Human,"[""'ønəķ""]",,['NPH_Agent'],noun,True,,root,likely
38,'əqoq',ʔəqoqʔ,'əqooq',Minion,"[""qoq'""]",,['C19_Krrik'],noun,True,,root,solid
39,φyrx,ɸyrx,φyyrx,Phyrexian,['φyrx'],,"['DOM_Scriptures', 'NPH_Norn', 'NPH_Ura', 'NPH_Jin', 'NPH_Sheo', 'NPH_Vorin', 'KHM_Vorin', 'NEO_Jin', 'SNC_Ura', 'DMU_Sheo', 'ONE_Norn', 'ONE_Lukka', 'ONE_Nissa', 'ONE_Arena', 'NPH_Agent', 'NPH_Elf', 'NPH_InkNexus', 'C19_Krrik', 'MBS_PsyCrawl', 'SLD_Praetors', 'ONE_Live', 'MBS_Trailer', 'NPH_Trailer', 'ONE_Trailer', 'MOM_Teaser', 'ONE_Solphim', 'MTGSalvation', 'MTGA', 'BeadleGrimms', 'BeadleGrimms_Guide']",noun,True,,root,solid
40,pxajtr,pxajtr,pxaajtr,Praetor,['pxajtr'],,"['NPH_Norn', 'NPH_Ura', 'NPH_Jin', 'NPH_Sheo', 'NPH_Vorin', 'KHM_Vorin', 'NEO_Jin', 'SNC_Ura', 'DMU_Sheo', 'ONE_Norn', 'SLD_Praetors']",noun,False,,root,solid
41,θutlzətč,θutlzəttʃ,θutlzəətč,Rogue,"['θutl', 'zətč']",,['NPH_Agent'],noun,True,,composite,likely
42,ǧliŋš,g'liŋʃ,ǧliiŋš,Treasure,['ǧliŋš'],,['ONE_Vraska'],noun,True,,root,solid
43,naķmtǆyφt,nakʰmtdʒyɸt,naķmtǆyyφt,Warrior,"['naķm', 'tǆyφt']",,['NPH_Elf'],noun,True,,composite,solid
44,plinexs,plinexs,FALSE,Compleated,['plinexs'],,"['NEO_Tami', 'DMU_Ajani', 'ONE_Jace', 'ONE_Vraska', 'ONE_Lukka', 'ONE_Nissa', 'ONE_Nahiri', 'SLD_Praetors', 'Swamp_Lore', 'Merch', 'Keyboard', 'BeadleGrimms_Guide']",adjective,True,,root,solid
45,ɣwiθuqx'əkš,ɣwiθuqxʔəkʃ,FALSE,Deathtouch,"['θuqx', ""'əkš""]",,['DMU_Sheo'],noun,True,,composite,solid
46,qiplt,qiplt,FALSE,Equip,['qiplt'],,['NPH_Batterskull'],verb,False,,root,solid
47,ɣwiziklʁums,ɣwiziklʁums,FALSE,Flash,"['zikl', 'ʁums']",,['NPH_Jin'],noun,True,,composite,solid
48,ɣwitøšq,ɣwitøʃq,FALSE,Flying,['tøšq'],,['NPH_InkNexus'],noun,True,,composite,solid
49,ɣwiziklvuwk,ɣwiziklvuwk,FALSE,Haste,"['zikl', 'vuwk']",,"['NPH_Ura', 'KHM_Vorin', 'ONE_Nahiri']",noun,True,,composite,solid
50,ɣwiɮəɣð,ɣwiɮəɣð,FALSE,Infect,['ɮəɣð'],,"['NPH_Agent', 'NPH_Elf', 'NPH_InkNexus']",noun,True,,composite,solid
51,ɣwinsa'qraφoj,ɣwinsaʔqraɸoj,FALSE,Lifelink,"[""nsa'q"", 'raφj']",,"['NPH_Batterskull', 'C19_Krrik']",noun,True,,composite,solid
52,jektlexøq,jektlexøq,FALSE,Proliferate,"['jekt', 'lexq']",,['ONE_Vraska'],noun,True,,composite,likely
53,ɣwiqaškmjment,ɣwiqaʃkmjment,FALSE,Swampwalk,"['qaškm', 'ment']",,['NPH_Sheo'],noun,True,,composite,solid
54,ɣwikfɒǧpan'g,ɣwikfɒg'panʔg,FALSE,Trample,"[""pan'g""]",,"['NPH_Vorin', 'KHM_Vorin']",noun,True,,composite,solid
55,ɬaʁq,ɬaʁq,FALSE,Toxic,['ɬaʁq'],,['ONE_Lukka'],noun,True,,root,solid
56,ɣwipnrukm,ɣwipnrukm,FALSE,Vigilance,['rukm'],,"['NPH_Norn', 'DMU_Ajani', 'ONE_Norn', 'NPH_Batterskull']",noun,True,,composite,solid
57,twøǩxθəxt,twøk'xθəxt,twøǩxθəəxt,Battlefield,"['twøǩx', 'θəxt']",,"['NPH_Ura', 'NPH_Sheo', 'ONE_Norn']",noun,True,,composite,solid
58,čxət'θəxt,tʃxətʔθəxt,čxət'θəəxt,Exile (zone),"[""čxət'"", 'θəxt']",,['Yawg_Test'],noun,True,,composite,solid
59,θuqxiwwθəxt,θuqxiwwθəxt,θuqxiwwθəəxt,Graveyard,"['θuqx', 'θəxt']",,"['Yawg_Test', 'NPH_Sheo', 'NEO_Tami', 'ONE_Jace', 'ONE_Nahiri']",noun,True,,composite,solid
60,naql,naql,naaql,Hand,['naql'],,"['NPH_Jin', 'NPH_Batterskull']",noun,True,,root,solid
61,tektθəxt,tektθəxt,tektθəəxt,Library,"['tekt', 'θəxt']",,"['Yawg_Test', 'SNC_Ura', 'DMU_Ajani']",noun,True,,composite,solid
62,θəxt,θəxt,θəəxt,Zone,['θəxt'],,"['Yawg_Test', 'NPH_Ura', 'NPH_Jin', 'NPH_Sheo', 'NEO_Tami', 'SNC_Ura', 'DMU_Ajani', 'ONE_Norn', 'ONE_Jace', 'ONE_Nissa', 'ONE_Nahiri', 'ONE_Arena']",noun,True,,root,solid
63,dlabzqpenč,dlabzqpøntʃ,dlabzqpeenč,Upkeep,"['dlabz', 'qpenč']",,"['NPH_Sheo', 'SNC_Ura']",noun,True,,composite,solid
64,twøǩx,twøk'x,twøøǩx,Combat,['twøǩx'],,"['NPH_Ura', 'NPH_Sheo', 'ONE_Norn', 'ONE_Nahiri', 'ONE_Panel', 'MOM_Teaser']",noun,True,,root,solid
65,πlnaķmqpenč,p'lnakʰmqkentʃ,πlnaķmqpeenč,End step,"['naķm', 'qpenč']",,['ONE_Nahiri'],noun,True,,composite,solid
66,qpenč,qpentʃ,qpeenč,Step,['qpenč'],,"['NPH_Jin', 'NPH_Sheo', 'NPH_Vorin', 'NEO_Tami', 'SNC_Ura', 'ONE_Nahiri']",noun,True,,root,solid
67,ronɣ,ronɣ,roonɣ,Turn,['ronɣ'],,"['Yawg_Test', 'NEO_Jin', 'SNC_Ura', 'DMU_Ajani', 'ONE_Jace', 'ONE_Nissa', 'ONE_Nahiri', 'NPH_InkNexus', 'NPH_Dismember', 'ONE_Panel']",noun,True,,root,solid
68,faxt,faxt,FALSE,Black,['faxt'],,['C19_Krrik'],adjective,True,,root,solid
69,ɮiww,ɮiww,FALSE,Green,['ɮiww'],,"['ONE_Lukka', 'ONE_Nissa', 'NPH_BeastWithin']",adjective,True,,root,solid
70,ɣwi't,ɣwiʔt,ɣwii't,Ability,"[""ɣwi't""]",,"['ONE_Norn', 'ONE_Vraska', 'ONE_Lukka']",noun,True,,root,solid
71,gʁičtx,gʁitʃtx,FALSE,Attack,['gʁičtx'],,['ONE_Nahiri'],verb,True,,root,solid
72,kfɒ'ǧ',kfɒʔg'ʔ,FALSE,Block (action),"[""kfɒ'ǧ'""]",,['ONE_Panel'],verb,True,,root,solid
73,ɢwinš,ɢwinʃ,ɢwiinš,Card,['ɢwinš'],,"['NPH_Jin', 'NPH_Sheo', 'NEO_Tami', 'SNC_Ura', 'DMU_Sheo', 'DMU_Ajani', 'ONE_Jace', 'ONE_Vraska', 'ONE_Nahiri', 'ONE_Arena', 'MBS_PsyCrawl', 'SLD_Praetors']",noun,True,,root,solid
74,ʁums,ʁums,ʁuums,Spell,['ʁums'],,"['Yawg_Test', 'NPH_Jin', 'NEO_Jin', 'NEO_Tami', 'C19_Krrik', 'NPH_Dismember', 'NPH_Misstep', 'NPH_BeastWithin']","noun,verb",True,,root,solid
75,sopšikt,sopʃikt,sopšiikt,Color,,,"['NEO_Tami', 'ONE_Vraska']",noun,True,,unclear,solid
76,qxuπl,qxup'l,FALSE,Control,['qxuπl'],,"['NPH_Norn', 'NPH_Ura', 'NPH_Vorin', 'NEO_Tami', 'ONE_Lukka', 'ONE_Nissa', 'NPH_Annex', 'Keyboard']",verb,True,,root,solid
77,tluxt,tluxt,tluuxt,Copy,['tluxt'],,"['NEO_Jin', 'NEO_Tami', 'ONE_Norn', 'ONE_Nahiri']","noun,verb",True,,root,solid
78,χanj,χanj,χaanj,Cost,['χanj'],,"['NEO_Tami', 'ONE_Nahiri', 'C19_Krrik', 'NPH_Misstep', 'ONE_Article']",noun,True,,root,solid
79,šuqn,ʃuqn,FALSE,Counter (action),['šuqn'],,['NEO_Jin'],verb,True,,root,solid
80,juχẅķ,juχɯkʰ,juuχẅķ,Counter (marker),['juχẅķ'],,"['KHM_Vorin', 'DMU_Ajani', 'C19_Krrik']",noun,True,,root,solid
81,naǩm,nak'm,FALSE,Create,['naǩm'],,"['NEO_Jin', 'NEO_Tami', 'DMU_Ajani', 'ONE_Lukka', 'ONE_Nissa', 'ONE_Nahiri']",verb,True,,root,solid
82,ðpačk,ðpatʃk,FALSE,Damage,['ðpačk'],,['ONE_Lukka'],verb,True,,root,likely
83,qab',qabʔ,FALSE,Kill,"[""qab'""]",,"['ONE_Nissa', 'ONE_Arena', 'NPH_BeastWithin']",verb,True,,root,likely
84,šteǧʁ,ʃteg'ʁ,FALSE,Discard,['šteǧʁ'],,['ONE_Nahiri'],verb,True,,root,solid
85,mprasw,mprasw,FALSE,Draw,['mprasw'],,"['NEO_Tami', 'SNC_Ura', 'DMU_Sheo', 'ONE_Jace', 'ONE_Vraska', 'ONE_Nahiri', 'ONE_Arena', 'MBS_PsyCrawl']",verb,True,,root,solid
86,čkalakm,tʃkalakm,čkalaakm,Emblem,['čkalakm'],,['DMU_Ajani'],noun,True,,composite,solid
87,čxət',tʃxətʔ,FALSE,Exile/Reject,"[""čxət'""]",,"['Yawg_Test', 'NEO_Tami', 'SNC_Ura', 'ONE_Nahiri']",verb,True,,root,solid
88,φ'kitv,ɸʔkitv,FALSE,Foil,"[""φ'kitv""]",,"['NPH_Elf', 'SLD_Praetors', 'BeadleGrimms_Guide']","adjective,noun",True,,root,solid
89,huqtkeɴyt,huqtkeɴyt,FALSE,Loyalty,"['huqt', 'keɴt']",,"['ONE_Nissa', 'ONE_Nahiri']",noun,True,,composite,solid
90,ma'n,maʔn,maa'n,Mana,"[""ma'n""]",,"['NPH_Vorin', 'ONE_Vraska', 'ONE_Lukka', 'NPH_Trailer']",noun,False,,root,solid
91,ẅəpk,ɯəpk,FALSE,Mill,['ẅəpk'],,['ONE_Jace'],verb,True,,root,solid
92,əxnɒqč,əxnɒqtʃ,əxnɒɒqč,Opponent,['nɒqč'],,"['NPH_Norn', 'NPH_Ura', 'NPH_Jin', 'NPH_Sheo', 'NPH_Vorin', 'KHM_Vorin', 'NEO_Jin', 'SNC_Ura', 'DMU_Sheo', 'DMU_Ajani', 'MBS_PsyCrawl']",noun,True,,composite,solid
93,naķmkeφe'x,nakʰmkeɸeʔx,naķmkeφee'x,Owner/Herder,"['naķm', ""φe'x""]",,['NPH_Batterskull'],noun,True,,composite,solid
94,huqɬgøťt,huqɬgøt't,FALSE,Pay,,,"['C19_Krrik', 'Ads']",verb,True,,composite,solid
95,'astiww,ʔastiww,'astiiww,Permanent,"[""'ast""]",,"['KHM_Vorin', 'NEO_Tami', 'ONE_Norn', 'NPH_BeastWithin']",noun,True,,composite,solid
96,bukð,bukð,FALSE,Play/Cast,['bukð'],,"['NEO_Jin', 'NEO_Tami', 'SNC_Ura']",verb,True,,root,solid
97,nɒqč,nɒqtʃ,nɒɒqč,Player,['nɒqč'],,"['NPH_Norn', 'NPH_Ura', 'NPH_Jin', 'NPH_Sheo', 'NPH_Vorin', 'KHM_Vorin', 'NEO_Jin', 'SNC_Ura', 'DMU_Sheo', 'DMU_Ajani', 'ONE_Jace', 'ONE_Vraska', 'ONE_Nahiri', 'MBS_PsyCrawl']",noun,True,,root,solid
98,ʁiheɬɬ,ʁiheɬɬ,ʁiheeɬɬ,Poison,,,"['DMU_Ajani', 'ONE_Vraska']",noun,True,,unclear,likely
99,nu'f,nuʔf,nuu'f,Power,"[""nu'f""]",,"['ONE_Lukka', 'MBS_PsyCrawl']",noun,True,,root,solid
100,krepg,krepg,FALSE,Reveal,['krepg'],,['MBS_Trailer'],verb,True,,root,solid
101,no'b'ugm,noʔbʔugm,FALSE,Sacrifice,,,"['NPH_Sheo', 'ONE_Vraska']",verb,True,,composite,solid
102,ɣypm,ɣypm,FALSE,Tap/Turn,['ɣypm'],,"['NPH_Ura', 'NPH_Vorin', 'NEO_Tami']","noun,verb",True,,root,solid
103,žyxt,ʒyxt,FALSE,Target,['žyxt'],,"['NPH_Sheo', 'NEO_Jin', 'NEO_Tami', 'DMU_Ajani', 'ONE_Jace', 'ONE_Vraska', 'ONE_Lukka', 'ONE_Nissa', 'ONE_Nahiri', 'NPH_Dismember', 'NPH_Misstep', 'NPH_BeastWithin']",verb,True,,root,solid
104,fa'ipθ,faʔipθ,fa'iipθ,Token,,,"['NEO_Tami', 'ONE_Lukka', 'ONE_Nissa', 'ONE_Nahiri', 'NPH_BeastWithin']",noun,True,,composite,solid
105,ǩažð,k'aʒð,FALSE,Trigger,['ǩažð'],,['ONE_Norn'],verb,True,,root,solid
106,πøkk,p'økk,πøøkk,Type,['πøkk'],,['ONE_Vraska'],noun,True,,root,solid
107,asərθ,asərθ,asəərθ,Number,['asərθ'],,"['NEO_Tami', 'ONE_Lukka', 'ONE_Nahiri', 'MBS_PsyCrawl', 'NPH_Misstep']",noun,True,,root,solid
108,'ii,ʔii,FALSE,One,"[""'ii""]",,"['DOM_Scriptures', 'NPH_Jin', 'NPH_Sheo', 'NEO_Jin', 'NEO_Tami', 'SNC_Ura', 'DMU_Ajani', 'ONE_Jace', 'ONE_Vraska', 'ONE_Lukka', 'ONE_Nahiri', 'ONE_Forest', 'ONE_Arena', 'NPH_Misstep', 'ONE_Article', 'MBS_Trailer', 'ONE_Trailer', 'MOM_Teaser', 'Merch']",noun,True,,number,solid
109,ķu,kʰu,FALSE,Two,['ķu'],,"['KHM_Vorin', 'DMU_Ajani', 'ONE_Trailer', 'BeadleGrimms']",noun,True,,number,solid
110,ķi,kʰi,FALSE,Three,['ķi'],,"['NPH_Ura', 'DMU_Ajani', 'ONE_Jace', 'Keyboard', 'BeadleGrimms_Guide']",noun,True,,number,solid
111,ķus'ər,kʰusʔər,FALSE,Twice,"['ķu', ""s'ər""]",,['KHM_Vorin'],adverb,True,,composite,solid
112,əxķus'ər,əxkʰusʔər,FALSE,Half,"['ķu', ""s'ər""]",,['KHM_Vorin'],adverb,True,,composite,solid
113,vižǥ,viižǥ,vižǥ,Access,['vižǥ'],,['Ads'],noun,True,,root,solid
114,čtəčpliɣn,tʃtətʃpliɣn,FALSE,Activate,,,['ONE_Lukka'],verb,True,,composite,solid
115,babg,babg,FALSE,Add,['babg'],,"['NPH_Vorin', 'ONE_Vraska', 'ONE_Lukka']",verb,True,,root,solid
116,ganwr,ganwr,gaanwr,Agent,['ganwr'],,"['DMU_Ajani', 'NPH_Agent']",noun,True,,root,solid
117,naķmnsa'q,nakʰmnsaʔq,naķmnsaa'q,Animist,"['naķm', ""nsa'q""]",,['ONE_Nissa'],noun,True,,composite,solid
118,ǩlətkk,k'lətkk,ǩləətkk,Annex,,,['NPH_Annex'],noun,True,,unclear,solid
119,niťamg,nit'amg,niťaamg,Apocalypse,,,['DMU_Sheo'],noun,True,,composite,solid
120,qab'θəxt,qabʔθəxt,qab'θəəxt,Arena,"[""qab'"", 'θəxt']",,"['ONE_Nissa', 'ONE_Arena']",noun,True,,composite,solid
121,pnmenθ,pnmenθ,FALSE,Ascended,['menθ'],,['ONE_Nissa'],adjective,True,,composite,solid
122,pn'ətsxn,pnʔətsxn,FALSE,Beg,"[""'ətsxn""]",,['NPH_Elf'],verb,True,,composite,solid
123,'iixtfu'q,ʔiixtfuʔq,'iixtfuu'q,Beginning,"[""'ii""]",,"['DOM_Scriptures', 'NPH_Jin', 'NPH_Sheo', 'SNC_Ura', 'ONE_Nahiri', 'ONE_Arena', 'MBS_Trailer']",noun,True,,composite,solid
124,χtena,χtena,FALSE,Behold,['χten'],,"['ONE_Plains', 'ONE_Solphim', 'BeadleGrimms', 'BeadleGrimms_Guide']",verb,True,,root,solid
125,πnokx,p'nokx,πnokx,Betrayal,['πnokx'],,['ONE_Vraska'],noun,True,,root,solid
126,ɮzətɣð,ɮzətɣð,FALSE,Blighted,,,['NPH_Agent'],adjective,True,,unclear,solid
127,huqt,huqt,FALSE,Blood,['huqt'],,"['DMU_Sheo', 'ONE_Nissa', 'ONE_Nahiri', 'ONE_Arena', 'MBS_PsyCrawl']",verb,True,,root,solid
128,tekt,tekt,teekt,Book,['tekt'],,"['Yawg_Test', 'NEO_Tami', 'SNC_Ura', 'DMU_Ajani']",noun,False,,composite,solid
129,ǩeǆylqitsodrm,k'edʒylqitsodrm,FALSE,Bottom,,,"['Yawg_Test', 'DMU_Ajani']",noun,True,,composite,solid
130,keɴyt,keɴyt,FALSE,Bound,['keɴyt'],,"['ONE_Nissa', 'ONE_Nahiri']",adjective,True,,root,solid
131,pən'g,pənʔg,FALSE,Break,"[""pən'g""]",,"['ONE_Nissa', 'MBS_Trailer', 'Merch']",verb,True,,root,solid
132,sər,sər,FALSE,By,,,"['NPH_Jin', 'NEO_Tami', 'DMU_Sheo', 'ONE_Jace', 'ONE_Vraska', 'ONE_Lukka', 'ONE_Nissa', 'ONE_Nahiri', 'ONE_Arena', 'MBS_PsyCrawl', 'NPH_Misstep']",preposition,True,,unclear,solid
133,ǆønobt,dʒønobt,ǆønoobt,Cenobite,['ǆønobt'],,['NPH_Norn'],noun,False,,root,solid
134,ʁšθakɴ,ʁʃθakɴ,FALSE,Choose,,,[],verb,True,,composite,solid
135,'aliθt,ʔaliθt,FALSE,Cleanse,,,"['ONE_Trailer', 'ONE_Solphim', 'Merch', 'BeadleGrimms_Guide']",verb,True,,composite,solid
136,močq,motʃq,FALSE,Come,['močq'],,"['NPH_Ura', 'NPH_Trailer']",verb,True,,root,solid
137,φlnaķm,ɸlnakʰm,FALSE,Complete,['naķm'],,['NPH_Trailer'],adjective,True,,composite,solid
138,bwedn,bwedn,bweedn,Crawler,['bwedn'],,['MBS_PsyCrawl'],noun,True,,root,solid
139,θuqx,θuqx,θuuqx,Death,['θuqx'],,"['Yawg_Test', 'NPH_Sheo', 'NEO_Tami', 'DMU_Sheo', 'ONE_Jace', 'ONE_Nahiri', 'MBS_Trailer']",noun,True,,root,solid
140,čəxkefa'qsemr,tʃəxkefaʔqsemr,FALSE,Dismember,,,['NPH_Dismember'],verb,True,,composite,likely
141,χɬkevk,χɬkevk,FALSE,Distribute,,,['DMU_Ajani'],verb,True,,unclear,solid
142,aχəw',aχəwʔ,FALSE,Each,"[""aχəw'""]",,"['ONE_Nissa', 'ONE_Nahiri', 'C19_Krrik', 'MBS_PsyCrawl', 'NPH_Annex']",adverb,True,,root,solid
143,xɬiwj,xɬiwj,FALSE,Early,['xɬiwj'],,['Ads'],adjective,True,,root,solid
144,ɢţrɒsd,ɢtʰrɒsd,ɢţrɒɒsd,Embrace,,,"['ONE_Article', 'ONE_Trailer', 'BeadleGrimms']",noun,True,,unclear,solid
145,ǆ'ynpp,dʒʔynpp,FALSE,Equal,,,"['ONE_Jace', 'ONE_Lukka', 'ONE_Nissa', 'ONE_Island']",verb,True,,unclear,solid
146,ɢiss,ɢiss,ɢiiss,Evolution,['ɢiss'],,"['DOM_Scriptures', 'ONE_Forest']",noun,True,,root,solid
147,ķoɮǩm,kʰoɮk'm,FALSE,Fall,['ķoɮǩm'],,"['ONE_Article', 'ONE_Trailer']",verb,True,,root,solid
148,zikl,zikl,zikl,Fast,['zikl'],,"['NPH_Ura', 'NPH_Jin', 'KHM_Vorin', 'NEO_Jin', 'SNC_Ura', 'ONE_Nahiri', 'NPH_Dismember', 'NPH_Misstep', 'NPH_BeastWithin']",adjective,True,,root,solid
149,mo'θ,moʔθ,moo'θ,Father,"[""mo'θ""]",,"['DOM_Scriptures', 'Yawg_Test', 'C19_Krrik', 'ONE_Article', 'NPH_Trailer', 'Dark_Discov', 'MTGA']",noun,True,,root,solid
150,jɒ'gmo'yθ,jɒʔgmoʔyθ,jɒ'gmoo'yθ,Father of Machines,"[""jɒ'g"", ""mo'θ""]",,[],noun,True,,composite,solid
151,xwixč,xwixtʃ,xwiixč,Fear,['xwixč'],,"['ONE_Swamp', 'MBS_Trailer']",noun,True,,root,solid
152,ķuɮaθǩv,kʰuɮaθk'v,FALSE,February,"['ķu', 'ɮaθǩv']",,['BeadleGrimms'],noun,True,,composite,solid
153,bɬølπ,bɬølp',FALSE,Fill,['bɬølπ'],,['NPH_Elf'],verb,True,,root,solid
154,ɣɒzɢ,ɣɒzɢ,FALSE,Flay,['ɣɒzɢ'],,['MBS_Trailer'],verb,True,,root,solid
155,'əpyrx,ʔəpyrx,'əpyyrx,Flesh,['pyrx'],,"['ONE_Live', 'MBS_Trailer', 'ONE_Trailer', 'ONE_Solphim', 'BeadleGrimms_Guide']",noun,True,,composite,solid
